timestamp,srcip,dstip,sport,dsport,proto,length
1747810175.548981,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,425
1747810175.549855,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,97
1747810175.594151,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,b3ecac3c9c0611a1eaf507cb30bb0903d63060981c3a0f3e8982dc950464a79e,48704,443,TCP,66
1747810175.60307,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,66
1747810175.60307,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,66
1747810175.891629,b3ecac3c9c0611a1eaf507cb30bb0903d63060981c3a0f3e8982dc950464a79e,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,48704,TCP,66
1747810175.992493,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,147
1747810175.992515,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810180.549264,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,425
1747810180.549937,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,97
1747810180.599571,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,66
1747810180.599571,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,66
1747810180.599615,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,101
1747810180.599615,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,101
1747810180.599629,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810180.599639,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810180.927475,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,147
1747810180.927504,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810185.409492,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,47422,53,UDP,74
1747810185.452245,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,47422,UDP,249
1747810185.452343,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,47422,53,UDP,74
1747810185.45391,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,47422,UDP,139
1747810185.45431,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,74
1747810185.548961,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,426
1747810185.549489,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,97
1747810185.620741,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,66
1747810185.702473,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,74
1747810185.702504,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810185.702821,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,583
1747810185.943772,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,54922,TCP,147
1747810185.943799,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,86ebea5b4140c737cc826205956a0f627d9a9f3dec0521105186460dde600773,54922,443,TCP,66
1747810185.952389,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,66
1747810185.95289,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,1514
1747810185.952903,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810185.953536,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,1514
1747810185.95355,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810185.954998,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,1553
1747810185.955006,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810185.956218,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,1392
1747810186.296002,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,66
1747810186.296002,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,245
1747810186.296031,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,143
1747810186.336536,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810186.601606,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,463
1747810186.601626,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810186.601978,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,66
1747810186.602346,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,90
1747810186.603099,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,42028,443,TCP,66
1747810186.851227,2af8203eff659205a2dbee23e32f15460426fa1054ebaf6f2a8e5dcad1ea0ee7,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,42028,TCP,66
1747810187.644442,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,36675,53,UDP,74
1747810187.644454,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,36675,53,UDP,74
